"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"
0	46	22.4466666666667	71.0466666666667	32	55	0.133333333333333	0.546666666666667	0	0	33	13
2	46	22.3466666666667	70.16	32.900002	54	-0.0333333333333314	-0.413333333333341	0.600001333333331	-0.666666666666664	33	13
1.5	46	24.0933333333333	62.32	31	61	-0.359999999999999	-0.413333333333334	0.866665999999999	-4.66666666666667	34	11
1	46	23.2666666666667	61.84	32.599998	55	-0.126666666666665	-0.486666666666665	0	0	34	16
0	46	23.4214285714286	63.0428571428571	30.1	64	0.0347619047619041	0.649523809523814	0	0	34	17
0.333333333333333	46	25.5666666666667	60.7	31.1999993333333	50	-0.0199999999999996	-1.83333333333333	0.400000333333335	0	34	12
0	46	23.1357142857143	65.2928571428571	32.799999	48	-0.117619047619048	0.066190476190485	0.533332666666666	-1.33333333333334	34	13
0	46	23.2266666666667	66.5933333333333	33.200001	45	-0.333333333333332	-0.926666666666662	0.266668000000003	-2	34	14
0	46	23.0533333333333	66.7533333333333	33.1000013333333	43	0.0466666666666669	-0.0533333333333417	-0.0999996666666689	1	34	16
0	46	21.8928571428571	72.8285714285714	32.400002	52	-0.213809523809523	1.32190476190476	0.466667333333334	-2	34	16
-0.5	46	25.7866666666667	60.8933333333333	29.799999	66	-0.0800000000000018	0.799999999999997	0	0	35	10
0	46	24.54	64.48	30.799999	61	-0.100000000000001	0.460000000000008	0	0	35	11
0	46	23.4866666666667	64.1666666666667	31.700001	55	0.126666666666669	1.34666666666667	0	0	35	12
0	46	23.26	64.64	32.400002	51	0.486666666666668	2.12666666666667	0	0	35	13
0	46	24.4714285714286	62	33.4071415	45.2857142857143	1.31142857142857	-1.21333333333333	0.107142500000002	-0.714285714285715	35	14
-0.25	46	23.3266666666667	64.2	33.200001	42	-0.06666666666667	0.633333333333333	0	0	35	16
0	46	23.2333333333333	64.3266666666667	33.599998	41	-0.0599999999999987	-0.213333333333338	0	0	35	17
-0.333333333333333	46	23.0666666666667	63.8866666666667	33.599998	41	-0.166666666666668	-0.440000000000005	0	0	35	17
1	46	23.0666666666667	68.92	29.299999	56	0.18095238095238	-0.61571428571429	0	0	35	11
0	46	22.62	67.1933333333333	30.299999	53	0.00666666666666771	0.546666666666667	0	0	35	12
0	46	22.5133333333333	67.7666666666667	31.799999	54	-0.133333333333336	0.340000000000003	0	0	35	14
0	46	22.3666666666667	66.7466666666667	32	53	-0.0619047619047599	0.403809523809528	0	0	35	15
-1	46	21.84	68.1266666666667	28.6	67	-0.0266666666666673	0.793333333333337	-1.2	4.66666666666666	35	16
-0.5	46	25.2866666666667	66.9466666666667	27.3999993333333	69.3333333333333	0.273333333333333	-2.81333333333333	-0.899999666666666	0.333333333333329	35	18
0	46	24.56	60.2066666666667	21.6	57	0.973333333333333	-2.61333333333334	0	0	35	12
0	46	23.5071428571429	59.0285714285714	24.8666666666667	46	-0.0795238095238133	-0.138095238095232	0.766666666666666	1	35	14
0	46	23.7066666666667	59.4533333333333	27	45	-0.579999999999998	-1.09333333333333	0	0	35	16
0	46	23.5	58.2666666666667	26.9	39	0	-0.413333333333334	0	0	35	17
-0.5	46	21.9928571428571	61.4714285714286	24.299999	48	-0.213809523809523	-0.208571428571425	0	0	36	18
-0.5	46	26	55.58	19.1	69	0.0533333333333346	-0.740000000000002	0	0	36	9
0	46	24.34	61.4066666666667	19.9	65	0.126666666666665	-0.686666666666667	0	0	36	10
-1	46	23.14	63.24	21.5	61	-0.213333333333335	0.426666666666669	0	0	36	11
-1	46	22.5933333333333	62.54	22.700001	59	0.0133333333333319	-0.333333333333336	0	0	36	12
-1	46	22.3333333333333	64.5066666666667	23.6666663333333	57	0.0733333333333341	0.560000000000009	0.0666663333333339	0	36	15
0	46	22.2466666666667	65	23.799999	57	-0.113333333333333	0.273333333333326	0	0	36	16
-1	46	21.94	65.1333333333333	23	59	0.0114285714285742	0.426190476190484	0	0	36	17
-1	46	24.8666666666667	65.6466666666667	17.200001	92	-0.0466666666666633	0.266666666666666	0.0666673333333314	0	36	9
-1	46	20.94	70.1933333333333	17.200001	91	-0.0466666666666704	0.306666666666658	0	0	36	12
-1	46	20.92	70.9466666666667	17.3000006666667	91	-0.019999999999996	0.900000000000006	0.0999996666666654	0	36	12
-2	46	20.9466666666667	70.4266666666667	17.5	91	-0.0266666666666673	-0.213333333333338	0	0	36	13
-3	46	21.0266666666667	70.9733333333333	17.5	91	-0.173333333333332	-1.40000000000001	0	0	36	13
