"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"	"d265"
-0.75	48	26.5466666666667	58.2533333333333	17.1	92	-0.280000000000001	0.859999999999999	0	0	36	9	1
1	48	24.2733333333333	56.0266666666667	17	92	-0.859999999999999	-1.95999999999999	-0.0666666666666664	0	36	9	1
-2	48	23.3666666666667	56.7333333333333	17	92	-0.446666666666665	-0.579999999999998	0	0	36	10	1
-0.875	48	23.3466666666667	63.5866666666667	17.200001	91	0.313333333333336	2.02666666666666	0	0	36	11	1
-1	48	23.3333333333333	60.2333333333333	17.299999	91	-0.640000000000001	-0.946666666666665	0	0	36	13	1
-2	48	24.8	59.44	29.5	69	-0.0733333333333306	0.993333333333332	0	0	36	14	1
-0.5	48	24.5666666666667	58.2533333333333	29.700001	69	-0.106666666666666	0.159999999999997	0	0	36	15	1
-2	48	24.4133333333333	59.0733333333333	29.200001	67	-0.186666666666667	1	-0.333333333333332	-1.33333333333333	36	15	1
-1.5	48	24.1066666666667	57.1333333333333	29.200001	67	-0.306666666666668	-1.94	0	0	36	16	1
-2	48	23.8266666666667	57.94	29.4	63	-0.0733333333333306	-0.520000000000003	0	0	36	18	1
-2.5	48	23.3866666666667	58.5933333333333	28.6	63	-0.213333333333335	-0.32	0	0	36	19	1
-2.5	48	24.68	56.6	29.299999	55.6666666666667	-0.293333333333333	-1.64	0	-1.33333333333334	37	13	1
1	48	26.8	59.7714285714286	31	50	0.146666666666668	-0.601904761904763	0	0	37	16	1
0	48	25.6066666666667	56.5333333333333	29.6	48	-1.14666666666667	-0.373333333333335	-0.933333333333334	-1.33333333333334	37	16	1
0	48	24.36	64.62	25	71	0.346666666666668	0.673333333333339	1	-3.33333333333333	37	9	1
0	48	24.2066666666667	57.4	28	56	-0.0933333333333337	0.466666666666661	0	0	37	13	1
0	48	23.6666666666667	57.76	28.299999	53	0.0666666666666664	0.413333333333334	0	0	37	14	1
0	48	23.5733333333333	58.7133333333333	28.5	50	-0.0480952380952395	0.249047619047616	0	0	37	15	1
0	48	23.3	59.84	27.700001	51	-0.0285714285714285	1.04	0	0	37	17	1
0	48	22.7	59.1933333333333	26.4	68	-0.0733333333333341	-0.133333333333326	0	0	37	20	1
0	48	23.1	60.7933333333333	23.9	80	-0.159999999999997	0.293333333333337	0.466666	-2.66666666666667	37	9	1
0.5	48	27.48	57.92	23.700001	79	-0.219999999999999	-4.24666666666666	0.266667999999999	-1.33333333333333	38	8	1
-0.5	48	25.1866666666667	56.2333333333333	23.8666676666667	78	-1.16	0.773333333333333	0.166666666666668	-1	38	9	1
-3	48	24.52	56.7666666666667	24.200001	76	-0.666666666666668	0.533333333333331	0.333333333333332	-2	38	9	1
-3	48	23.9	57.9066666666667	24.200001	76	-0.620000000000001	1.14	0	0	38	10	1
-2	48	22.6	61.8733333333333	25.700001	68	0.27333333333333	1.79333333333334	0	0	38	12	1
-1	48	25.5266666666667	59.7266666666667	25.9999996666667	63.3333333333333	0.426666666666666	-0.346666666666671	0.399999666666666	-1.66666666666666	38	13	1
-1	48	23.8066666666667	59.4533333333333	26.7666663333333	59.6666666666667	-0.293333333333337	-0.275238095238095	-0.0333326666666665	-0.333333333333336	38	14	1
-1	48	22.7214285714286	61.2214285714286	23.200001	67	-0.0319047619047623	0.201428571428565	0	0	38	16	1
0	48	22.4666666666667	61.8333333333333	25.2666663333333	65.3333333333333	-0.0266666666666673	0.126666666666665	0.266666333333333	0.333333333333329	38	17	1
-1.66666666666667	48	22.7214285714286	58.5071428571429	22.799999	51	-0.125238095238096	0.207142857142863	0	0	39	11	1
-3	48	22.5866666666667	59.2066666666667	23.700001	48	-0.0733333333333306	-0.0866666666666589	0	0	39	12	1
-3	48	24.9533333333333	55.8333333333333	24.1	46	0.539999999999999	-0.18	0	0	39	13	1
0	48	26.2533333333333	51.3733333333333	24.700001	44	0.133333333333333	-0.273333333333333	0	0	39	14	1
0	48	24.1733333333333	59.8466666666667	24.799999	44	-0.34	0.526666666666664	-0.466667333333334	2.66666666666666	39	16	1
-1	48	23.9466666666667	60.4133333333333	24.799999	44	-0.226666666666667	0.56666666666667	0	0	39	17	1
-1	48	24.3	52.9333333333333	20.1	45	-0.086666666666666	-0.940000000000005	0.866667333333336	-4.28571428571428	39	9	1
-1	48	23	58.0857142857143	24.1	33	-0.153333333333332	-1.62095238095237	0	0	39	16	1
-1	48	24.56	52.1733333333333	18.5	53	0.373333333333331	-0.606666666666669	0	0	39	10	1
0	48	24.9733333333333	52.0933333333333	20.6285724285714	47.6666666666667	0.626666666666665	-0.43333333333333	0.428571428571427	-1.33333333333334	39	11	1
0	48	24.1666666666667	53.9533333333333	21.700001	45	-0.806666666666665	1.14	0	0	39	12	1
0	48	21.96	58.06	23.799999	40	-0.213333333333331	0.106666666666669	0	0	39	15	1
0	48	21.6733333333333	60.2133333333333	23.5	36	-0.280000000000001	0.0399999999999991	0	0	39	16	1
0	48	23.4066666666667	59.0466666666667	20.299999	58	0.406666666666666	2.18	0	0	39	10	1
-1	48	23.6142857142857	58.35	22.1285720714286	53.9285714285714	-0.45904761904762	0.243333333333332	0.428571071428571	-1.07142857142857	39	11	1
